Person,Text,Date
Mentee commented at,"7:33PM February 5 
AHHHHHH UR SO COOL HELLO 
So inspiring....GOOD LUCK ON THE MED SCHOOL STUFF! I HOPE U GET ACCEPTED. 
Surprising ur parents would be godly.",7:33PM February 5
Mentor commented at,"6:20PM February 5 
Wow it's been such a crazy week for you! I really can tell that you have a genuine passion for helping others and I'm sure no matter what you do in the future you'll be able to make a big impact on society. Congratulations on getting into UBCO!!! It's okay if you don't have any entrance scholarships for UBC - it's actually pretty difficult to get one. The only person I know from my school that got a scholarship for UBC ended up going to Harvard, so you can tell how competitive those are. However, Carleton's $16,000 scholarship would be insane and would definitely help you pay for a huge chunk of your tuition when you're there. It's probably also slightly cheaper to rent over there? I can't say for sure because I haven't lived there obviously. I will say that UBCO has an amazing campus. It's absolutely gorgeous and I know the people there have a pretty close-knit community because it's such a small campus. I don't know much about Carleton, but the scholarship is honestly something that's really hard to give up and I think the only reason you should probably choose UBCO is if you have a huge preference, otherwise the scholarship makes me think Carleton is really worth it. I really hope you get the BC Excellence scholarship as I really do think you just deserve it. It's super cool that your best friend is also getting it, and it must be a little difficult to compete against each other but it's nice that you guys are still working on it together. I'm not surprised at all that you love your job - it seems like such an amazing opportunity, and the fact that everyone loves you as a tutor is really rewarding. I totally get having issues between something you are actually interested ub versus something you could actually see a career in; for example, my friend was also really interested in music but obviously he didn't see much of a future career in it so he ended up still doing a little bit of concert band in university, but then pursued a more practical major.
 Yes, the new gension patch is definitely insane. The new Liyue area has me so excited because my favorite part of any game is always the exploration, and just seeing all the new landscapes and mechanisms is so exciting for me. I'm glad that your finals ended up going super well, especially your 100% on the chem final (congrats again!)! It's also insane that they made you guys dissect a pig fetus. I think in high school the most they made us dissect was a cow heart, which was not as bad in my opinion.
Don't worry too much about being rejected from your dream program, you'll get used to being rejected from a lot of things in the future. Especially in university, I've been rejected from numerous programs and even clubs, so you get used to it after a while. When I was applying to university, I actually applied to a bunch of the Ivy Leagues and ended up getting rejected from practically all of them, but in the end I really enjoy being here at UBC as well!
I heard about the CN Genshin stuff going on and was not surprised at all that Genshin is once again not really doing anything for the anniversary. I think they know that regardless of what happens, no one is really going to quit the game, so they don't really care anymore. However, it's awesome that you started playing Honkai! I've been playing it for a while now and unfortunately I think it is a very fun game but the amount of content in it is relatively short, so finish it pretty quickly.
I hope you get better soon. It's really such a difficult time to be sick! I would hate to be sick right now as I'm so busy I haven’t had the time to take a break at all. Last week was just super chaotic for me as I finally got my acceptance into the UBC physics graduate program, Alberta physics program, and an invite to Calgary medical school so I've been panicking trying to figure out everything and start practicing for the interviews for Calgary. I'm still waiting on Alberta med as well so fingers crossed that I also get the interview there! I decided to not tell my parents for now and surprise them by just flying back and knocking on their door. I think that would be hilarious and I can't wait to see this surprise on their faces. In addition, I just have so many assignments and marking to do as a TA. My Honours thesis is also heading towards its end and I really need to start getting things done so I'm definitely panicking about that too. The final thesis is supposed to be around 50 pages long, so I have no idea where I'm even going to begin. Graduation is just such a hectic time and there are so many things I have to consider and work out so I will try my best to reply to you as soon as possible, but I may be a little slow in the next few months. Good luck on everything!",6:20PM February 5
Mentee commented at,"7:57PM February 3 
ITS OKAY LOL
I guess this is how it's gonna be now...life is crazy hectic lately...I can't even imagine how it is for you. 
A big step forward in your life is coming and I bet it's stressful...BUT I wanna hear all about it! 
Take ur time to get back to me...don't think of it as a chore, but rather do it when u want to do it. Yk?",7:57PM February 3
Mentor commented at,"3:11PM February 3 
Hi Mentee!
Now it's my turn to say I'm busy haha... I promise I'll reply by the end of this weekend. It has really been quite the hectic week",3:11PM February 3
Mentee commented at,"10:39PM February 1 
HI MENTOR! 
It is finally time...althought I am actually in bed sick with a fever right now...I did promise. So much has happened holy. I am not gonna remember everything. 
K first off let's rewind, I don't even know what the last thing I told you about was. Let's start off in the first week of January. I presented my capstone! That was super fun. I also watched a bunch of my friends capstones which for some reason made me unexpectedly emotional?? It was weird. Anyway, then the end of the semester came around, and I got a bunch of thank you texts and cards and hugs from the students I tutor and it was super wholesome. It made me feel like I actually did something to help the world for once...I am not completely useless. Tbh that's kinda my goal in life...to help the world. Which is what i've been writing on most of my college and scholarship prompts. Like for example one of the most cliché prompts has been, ""what is most important to you in life and why?"" If I truly answer that with upmost honestly, I genuinely want to help the world. That is most important to me. Now whether that's a good answer or not idk. What I do know is that I am happy with what i've been submitting. It makes me sound determined and confident. Driven like a leader. 
Im ranting...typical 
Speaking of scholarships and universities...first of all...I got into ubcO! So that's pretty exciting. I think housing applications are open so i need to apply asap. Remember when I had a big rant about how I don't wanna apply to ubc and then you told me to and I didn't listen. Well now here I am, with no entrance scholarships cause I applied late but that's okay. I'm not sure if I wanna go there yet. It's in my top 2. Carleton and ubcO. I've got to decide between those 2 soon. I've been doing more in depth research into housing and tuition fees and stuff. Not to mention that I do have a minimum of 16,000 dollars scholarship from carleton which is crazy...it's like they are desperate to have new students. Like that's a lot of money. 
Lemme know what you think about that. 
Ok ok and then there's scholarships. So there's the BC Excellence Scholarship which the way it works is there's one nominee from each highschool nominated by the school district admin after reviewing your application and they get to actually apply for the award. I applied and I just got called to the office this week, and then they took me into the back rooms of the school which was kinda scary. I have been in this building for so many years but never knew there was a whole maze of rooms behind the office lol. But anyways the principal was like hey ur in the top 3 but we can't choose between you guys so we are making you submit the second part of the application which is like a sort of kind of resume experience type thing. So i recently submitted that. I also found out that my best friend is one of the other 3. We can't figure out who the third person is tho. So we actually worked together on our applications for the second part lol. Now we are both patiently waiting. Wish me luck lol. 5 grand would be insane. 
Ooook what else....uhhh my capstone is not done yet! Just because I presented it doesn't mean it's over. This is just the beginning. I actually got a text today that I got referred to from one of the parents whose daughter I tutored last semester! So the business is growing! It's amazing to see my dream slowly come true. The kids words that i've received are honestly just speechless. Idk how I could ever repay these people. I do absolutely love my job i've gotta admit. 
Yk what else I love...Music! Which is why I actually have 2 music classes in my schedule this semester. It's a crazy story. Okay so I have physics 12 first block. Then an independent directed study in music theory. Then music composition and production 12. And then calculus 12. Okay but the interesting part is the story behind my independent study. So basically after I presented my capstone, during my careers block I basically had an open block to work on assignments and stuff. I had no work to do lol and i was bored until one morning after my band class ended (we have band 7:30-8:30) my music teacher who is also the best person to ever exist and also my best friend and also one of my biggest role models slash inspirations gave me the idea of coming to the band room during my open block to do some theory! Cause i've always wanted to learn more theory. It is actually my dream to pursue music post secondary but i didn't apply for it because i don't see career in it. It truly is my dream tho. Anyways yeah so during my open block I had 1 on 1 theory lessons with my band teacher....and then...the semester came to an end. And on the last day he gave me this idea...he told me there's a thing called an independent directed study, where u do like your own study in something your interested in but someone in the community kind of is your mentor and stuff. It's super cool. And he was like Yeah i'll totally do a one on one theory block with you...So i asked my counsellor who didn't take much convincing and here I am! I now am living my dream life. I go to band in the morning. Then physics. Then theory. Then after lunch music composition and production which is one of the coolest classes ever once again with my band teacher the absolute goat. And then calculus. It's like my dream schedule. It's everything I could ever want. And it works out great because I don't have any academic classes left to take besides physics and calc. I took grade 11 and 12 courses in grade 10 and 11 so I got a little bit ahead. Which ended up being super worth it cause now this last semester of my life is amazing. I'm learning like first year university theory so I am getting to study music without having to go to university. It's a dream come true. 
Ok what other stories are there...My fever is killing me rn. 🤦‍♀️
OH THERES XIANYUN AND GAMING AND CHIORI. HOOOOLLLYYYY HOYOVERSE IS COOKINGGGGG. Lantern rite is gonna be a blast. I just hope I don't miss the event. I've been taking a bit of a break. I haven't logged on in a few weeks. I was super busy. All my finals went super well though! 
OH! I DISSECTED A FETAL PIG. IT WAS CRAZY BUT ALSO RLLY DISGUSTING AND IT MADE ME QUEASY. 
 
Uhhh I aced my chem final which was epic. 100 PERCENT LES GO. and um yea! 
There's gotta be so many scholarships to apply to. Please let me know if you know any! 
OH ANOTHER THING. My dream program...remember it. Yeaaaa they rejected me. I tried my best but i guess it just wasn't meant to be. I am not really too disheartened about it. To be completely honest I never fully believed in myself anyway which I know is bad but oh well. I'm excited for the future regardless. 
Besdies a longer rant about genshin i've probably covered everything. Have you heard about the CN Genshin stuff going on and how everyone's unfollowing genshin on twitter. I found that pretty funny. 3 intertwined fates for what like 4 years of genshin is actually pathetic lol. I don't rlly care but I wouldn't mind some better rewards. SPEAKING OF. I STARTED PLAYING HONKAI. Not much but a few hours. I'd say I have like 15 ish hours in the game? I got welt as my standard 5 star. He's pretty cool. I haven't had time to play in weeks tho.
I think I pretty much covered everything i've been wanting to tell your for weeks. I'm gonna go to bed because my forehead is dying lol. If i forgot anything i'll probably spam you some other day lol. 
YOUVE GOTTA TELL ME ABOUT UR LIFE TOO. It's gonna be interesting. 
Anyway okok bye bye
i didn't reread anything in this message so sorry if it's completely incomprehensible . I also have a fever lol.",10:39PM February 1
Mentee commented at,"9:44PM January 31 
Mentor.....I am making a vow....to get back to you tmrw. If I don't....I fail at life...boom dead die bye bye..
Pinky promise...the most powerful vow of all time",9:44PM January 31
Mentor commented at,"3:03PM January 24 
Hi Mentee!
I completely sympathize with you, finals are genuinely such a pain. I actually don’t think I ever had to do multi part finals other than for my IB exams in high school, so it sounds like you’re going through a much tougher time than me! Don’t worry about finishing the Paying for School unit if you’ve already gotten all the marks, especially if you don’t feel that interested. I’m completely fine with you just writing a long rant about what’s going on haha! Honestly, I’m just stressing over my Honours thesis at this point since it’s only 4 months until I have to hand in like a 50 page document and do a presentation on it, but I feel like I’ve barely accomplished any research 😭. There’s just so much chaos going on right now that I wish I could just skip 4 months into the future, so I don’t have to suffer through an entire semester. Anyways, good luck on your finals and don’t give up, you’re so close to finishing!",3:03PM January 24
Mentee commented at,"11:42AM January 23 
MENTOR...
Im not gonna lie it's not looking too good rn. These finals are brutal...I have never had to like study or like worry about tests in my life...but like why do they have to make everything all at once. I have like 4 finals that are multiple days long all consecutively in the same week every single day.
This is probably normal for you but it's a first for me. I'm trying to fight through lol. My english exam is literally all week. I dunno what my grade is gonna be on that but I just finished up part A and B. Part C is an in class essay and idk how i'm gonna do on that...
I finished my chem exam...that one was pretty easy. The bio one is wednesday and friday. 
I an actually so sick of this. 
I am sorry for complaining to you lol, if I do the paying for school unit it's gonna be this weekend... The term ends on monday technically. Although on my assignment sheet I have a 40/40 for e mentoring, so I don't even think we have to do another unit. Ngl I don't wanna do it BUT I SO BADLY WANNA WRITE A HUGE MESSAGE ABOUT STUFF! I swear I will at some point...I SWEAR.
Anyways, yea...trust me, you'll know when I am done everything. I will definitely let you know. FEEL FREE TO SEND ME ANYTHING IN THE MEANTIME! I'm sure there's cool stuff happening in ur life!",11:42AM January 23
Mentor commented at,"12:48PM January 17 
Hi Mentee!
No worries at all! Good luck on your scholarship applications, assignments and finals! Omg haha don't worry, I do not have high standards at all - I literally cannot do any type of creative activity (singing, drawing, dancing, etc.) for the life of me. Seriously, I don't have a single creative bone in my body, so I'm always super impressed with what you're doing! We still have until the 26 so you have time to finish things up later if need be, for now definitely focus on your schoolwork",12:48PM January 17
Mentor commented at,"12:20PM January 15 
No worries! This last semester is probably gonna be insanely busy for both of us haha. I look forward to seeing your painting!",12:20PM January 15
