Person,Text,Date
mentor commented at,"4:05PM February 1 
Hey Nicole! I see online that it's around 65%, but I also think this might not be totally accurate. I think there's a chance that more people than this get accepted. I know when I was in grade 12, a bunch of people in my grade were applying, and I only knew one person that did not get accepted to UVic (and I think they missed a lot of school and had pretty low grades). Also keep in mind that this depends on the program you apply to, e.g., I think something like engineering or biochem would be a bit more difficult to get into, but there would be a very low chance you would get rejected from a program like psychology. I think the acceptance rates are an average of all programs, including ones that are harder to get into.
I hope you applied if you are considering UVic!",4:05PM February 1
mentee commented at,"4:42AM January 28 
I am so sorry it's been so long!! I will resspond fully later I literally just woke up thinking about what is the acceptable rate for uvic?? i know the application deadline is the 31st and fast approaching and i'm trying to figure out if i even have a good chance of getting accepted or not ...",4:42AM January 28
mentor commented at,"3:20PM November 22 
I loved reading about your career aspirations! It's so nice to hear that you seem to be passionate about so many different things. I think it's always good to keep different options open, especially when you're at the stage where you are now (but even at any point in life). I am in dental school now, and I have classmates that want to be dentists, but they also hope to try out other careers later in life when they can. 
It's great that you were able to see what the daily life was like for a graphic designer. I think that being able to shadow someone locally in a job (without any of the sugar coating that I sometimes notice on social media day-in-the-life videos) is one of the most helpful things you can do when trying to decide what type of job you might want to do after school. I think you should really be able to visualize yourself doing it everyday.
As for marine biology, I would try not to get too discouraged right now if it's something you think you might want to consider more. I know people that are now in dental school that had to overcome many set backs to get here. Some even failed science classes at their univeristy and had to redo them, and others had to apply multiple years in a row before getting in. Whatever job you decide to aim for, just remember that a lot of people who get the job they want got it because they never gave up. Even when they doubted themselves, they just kept pushing on and trying their best. Have you thought about taking a marine biology class as an elective to see if you like it? A counsellor would also be a good job where you can interact with others and have each day be a bit different!",3:20PM November 22
mentor commented at,"3:05PM November 22 
Hello Nicole,
Thank you for all your questions! To make sure that I can respond to everything, I will paste your response and then put my answer below. 
I also took a look at other majors available but I still feel like I have the most interest and passion for psych!!
That's awesome! I personally had a great time taking psych, and I am really happy I ended up taking it over other majors, but I also know that everyone has different interests, so I think it's important that you also keep an open mind (once you have started taking different types of classes) incase there's anything else that you might want to transfer into. 
as far as the classs... like would I be able to take English as an elective right? becasue i see that it isn't ""required"" but I do actually enjoy english. 
Yes! So for english, there's actually a required academic writing and reading class that I believe almost every major requires in the first year (called ATWP 135 at UVic) which is pretty helpful for the rest of your degree when you have papers and assignments for different classes, but you can also take other english/writing/literature classes if you want. In the planning sheet for first year (BSc psyc), you will see at the bottom that there's a line that says ""electives any level -- 3.0"" This means that you can take two classes in any faculty at any level (i.e., 100 level/first year class, 200 level, 300 level, or 400 level), although beyond first year classes, many classes have prerequisites that you need to take first before you are allowed to enrole in them. I took a contemporary literature course where we were assigned things from different forms of media (movie, graphic novel, poems, etc.) which we wrote essays on. It was pretty interesting! 
50-120 min classes sound quite doable... I feel like I can stay seated and semi- focused for that amount of time most days. 2 hrs and 50 mins may be a bit of a stretch but maybe If the subject is extremely interesting it will be easy!! 
Yeah, 2 hrs and 50 min can be a lot, but then you also get the reward of only having that class once per week haha. So, it's a trade off, but my favourite style ended up being 50 min for most types of classes. I found it was easy to stay focused the whole time and digest all the info during that time frame.
from experience, would you say that a ""typical"" first/second year student's schedule is fairly manageable? it can be difficult to figure out what to expect because certainly on social media there are some people who say they barely have time to eat and sleep because the course load is so demanding, while others say wow, there is so much time!! I imagine it would also depend a lot on how savvy a person is with their time management skills... sadly an area I lack in a bit!! like would it be reasonable to maintain a balance of studying, social life and personal time? I dont see myself spending a lot of time going to parties lol since I am quite an anxious person but I absolutely love to hang out in smaller groups. would it be unrealistic to think about taking on a part time job while being at school? I mean I know people do but like for first year? I think it would also be nice to be able to study with friends and stuff because it can help me to focus (sometimes it makes it harder lol) and less lonely!! 
I would say that a typical schedule is pretty manageable, especially in a major like psyc where there's not a ton of labs/tutorial that are required in addition to regular classes. At the same time though, I think it's normally to feel a bit like there's no time for anything else at first. I think this is because when you're new to university/college, it's hard to know what to spend the most time on, and which types of classes/assignments you can do more quickly and still get a good mark. For example, you might have a class where there's a ton of required readings, but after the first midterm, you realize that almost all the exam questions are taken from the lecture slides. Sometimes the profs will be nice and tell you how many questions are from readings vs lecture, but sometimes they won't, so in this case, I found my self studying everything just incase, but then when the next midterm or final came, I was able to save a ton of time by only studying the things that I think will be on the exam, and then skimming the other stuff if I have extra time after. I think there is enough time for anything that you really want to do (e.g., if you really want to have a part time job or work out daily), but it might come with the consequence of less time for other stuff (e.g., feeling like you don't have enough time to hang with friends or get lots of sleep). You kind of need to pick your top few priorities and make a point of doing those things, regardless of if it feels like there's a lot of stuff to do for school. I had a part-time job when I first started university (twice a week for four hours), but I later quit after my first year because I realized I wanted more time to hang with friends, get good sleep, and have even more time to spend studying so I could get better grades. Saving 8 hours a week doesn't sound like much, but I find if I over-scheduled myself, then I would also just feel burnt out. So, when it came time in the day to study (e.g., after work and school), I sometimes found it quite difficult to motivate myself or to get through my work quickly and efficiently without just getting distracted and taking a bunch of breaks. Sorry this is a lot of info. . . in conclusion, I think my biggest piece of advice would be to start university/college with minimal other commitments, focus on getting good at the ""simple"" stuff in term 1 (e.g., sleeping enough, staying on top of your studies, eating healthy meals, doing a bit of exercise, and making time for friends and family), and then I would take on one commitment at a time once you feel like you have all those types of things under control. E.g., in term 2, or year 2, you could get a part-time job or sign up for a volunteer position.
how did you find making friends? was it really scary, or like were there a lot of people with shared interests who were looking to be friends as well?
I found that making friends was harder than in highschool because I lost the ability to have ""convenient"" friends -- those types of friends that you just end up always having around because you have similar classes or interests. If you go to a bigger univeristy, you might find that you have different people in every class you go to. I found that if I wanted to make friends, I needed to seek them out. E.g., sign up for an activity where I could meet people with similar interests, go to social events and add people on social media, strike up conversations with people in my classes and ask them to work on a class project or to study together. At times I found myself a bit lonely, but in my last year, I found that I had a really good social circle. It helped that I took honours, so I was able to get to know everyone in the honours cohort and see them multiple times a week for the whole 4th year. I think it can be different for everyone though. Some people make a group of friends right away that they stay super tight with the whole 4 years (e.g., met them in residence and then rented a place as roommates in year 2-4). I also had COVID online lectures for a lot of my classes, so it will probably be easier to make friends now that everything is pretty much normal again.",3:05PM November 22
mentee commented at,"8:30PM November 18 
so I did the little warm up exercise for that section on career aspirations and dreams I have had in the past. it says to write for 2-3 mins lol and I ended up writing for 15 minutes and filling an entire page!! 
I will summarize—
I kind of always knew I wanted to do some work that would involve helping people in some meaningful way. starting from when I was quite little I wanted to care for babies, like an obstetrician or midwife. then I became interested in being a nurse or doctor, and then I became passionate about working in a field of emergency services, like law enforcement or paramedic. I discovered a passion for graphic design in grade 8, and considered pursuing that subject but after a work experience placement which was great, I realized it would be an ""8 hrs sitting at a desk behind a computer every day"" sort of job which is exactly what I want to avoid. so i figured I would stick to like freelancing for graphic design. I have been very excited about marine biology as well, but I am just unsure if that is just a passion but maybe not a career? I didn't do quite as well in sciences as I'd hoped which discouraged me a bit. so currently I am most interested in psychology with the goal of becoming a counselor!
I will look at the videos tomorrow!!",8:30PM November 18
mentee commented at,"6:51PM November 18 
I will take a look at the career exploration circle!!",6:51PM November 18
mentee commented at,"6:50PM November 18 
you can probably tell from my tone of msg that I'm feeling a little more grounded at the moment!! my brain is organizing thoughts a little better than usual which is always nice :) 
how did you find making friends? was it really scary, or like were there a lot of people with shared interests who were looking to be friends as well? I am just worried that everyone will already have enough friends and not be interested in getting to know me at all. but I really like to be around people... usually. I would describe myself as quite a social person, I'm extroverted but definitely not the type of person that has 1000 friends lol.
I may have mentioned this before, but I would love to get into going to the gym. but i feel so insecure going alone, and it would be great to meet someone who knew a bit and also would be willing to go with me!!",6:50PM November 18
mentee commented at,"6:41PM November 18 
Rachel thank you for being so sweet and understanding!!! I really appreciate that :)
yes, like I feel like the transition to living quite independently could be a bit rough at the beginning but once I settle in and start to feel more comfortable, I think it will actually be a really good change for me. 
thank you, I did check out the course planning sheets and even found the page to translate the subjects of the required classes!! I also took a look at other majors available but I still feel like I have the most interest and passion for psych!! 
as far as the classs... like would I be able to take English as an elective right? becasue i see that it isn't ""required"" but I do actually enjoy english. 50-120 min classes sound quite doable... I feel like I can stay seated and semi- focused for that amount of time most days. 2 hrs and 50 mins may be a bit of a stretch but maybe If the subject is extremely interesting it will be easy!! but i understand of course that there will be a lot of adapting and ""going outside my comfort zone"" happening at uni lol. 
from experience, would you say that a ""typical"" first/second year student's schedule is fairly manageable? it can be difficult to figure out what to expect because certainly on social media there are some people who say they barely have time to eat and sleep because the course load is so demanding, while others say wow, there is so much time!! I imagine it would also depend a lot on how savvy a person is with their time management skills... sadly an area I lack in a bit!! like would it be reasonable to maintain a balance of studying, social life and personal time? I dont see myself spending a lot of time going to parties lol since I am quite an anxious person but I absolutely love to hang out in smaller groups. would it be unrealistic to think about taking on a part time job while being at school? I mean I know people do but like for first year? I think it would also be nice to be able to study with friends and stuff because it can help me to focus (sometimes it makes it harder lol) and less lonely!!",6:41PM November 18
mentor commented at,"11:21AM November 9 
So for the activity circle, I unlocked the ""career exploration"" activity. If you want to work through it together, we can continue our conversation there. We would just click on the ""career exploration"" link in the activity circle above and then read through the different prompts/activities and discuss them.",11:21AM November 9
mentor commented at,"11:17AM November 9 
Hi Nicole,
You really do not need to apologize! :) I am here anytime you need to talk about something. There's no specific schedule you have to stick to for messaging me. Of course I want to keep chatting with you!
That totally makes sense about your concerns about UVic. It's difficult for me to give you advice about a smaller college because I personally have not been to one, but I did have friends who went to Camosun College in Victoria and really enjoyed their time there (some of them liked it even more than they liked UVic). I think staying closer to home could help if you're worried about being lonely, although I think if you do want to try a bigger city or bigger university, you will probably get used to it and not feel lonely after being there for a while. I would try talking to friends and family to see what they think as they probably know you well, and whichever you decide, you can always transfer after a year if you wish you make a different choice.
Yes! You can choose to take a bachelor of science or arts in psychology. The biggest difference is what type of degree you will get at the end (BSc vs BA), but the classes are pretty similar as they both require quite a lot of psychology classes. The required classes outside of psychology is where the degrees differ the most. For example at UVic to get a BSc in psyc, you have to take BIOL 184 and 186 (first year bio), but you don't have to for a BA in psyc. You can search ""UVic psychology program planning worksheet BA"" (or BSc) to see which classes are required for each degree. 
Yes you can transfer pretty easily between science and arts at UVic, you just have to meet their minimium requirements for the most part. Although, I have heard it can be more difficult to switch at other schools (such as UBC) as you would have to apply, and sometimes the applications are denied depending on how competitive the program is. 
Sorry, my previous message might have been a bit confusing. In total you need to take 10 classes each year to graduate in 4 years. I believe this usually adds up to about 3 hours of classes per day, although sometimes you need to register for tutorials or labs (if they are required to pass a certain class) which might be additional hours per week. Each class is usually 50 minutes (10 min transition time to get to your next class), but classes can also sometimes be 120 min or 2 hrs 50 min, although the latter two are not as common. Your schedule will look different depending on which classes you sign up for. For example, you can try to register for classes at times that are back to back, but sometimes it's hard to find one that fits, so you might have to have gaps in your schedule (e.g., one or two hour break between classes), or you might have to take a class even in the evenings during some semesters. One benefit of going to a bigger school is that there will likely be more different types of classes available and more sections for a class that you can register in (e.g., at UVic, psyc 100A might have 3 different sections going on during one semester, all scheduled at different times). This just allows you to build your schedule in a more customized way to your preferences.
During your first year, if you go to a bigger university, probably most of your classes will be in big lecture halls, but as you advance through the years, your classes will probably get smaller and smaller as calsses become more specialized. Although, there are some classes that always seem to be small. For example, language classes such as english and french always seem to have around 30-40 students at UVic, so they feel more like high school classes.",11:17AM November 9
