Person,Text,Date
Mentor commented at,"8:53AM December 8 
Thanks! I'll have to check It out!
I'm glad you found some things helpful!
Hope you have a great Christmas!
Best of luck,
Mentor :)",8:53AM December 8
Mentee commented at,"11:38AM December 3 
Hello! The app's called ""Mood Tracker: Self-care Habits""!
And it was lovely meeting you too! You really helped me learn new strategies that would be very helpful for when I enter college! I had fun doing the extension activities too, especially the budgeting one! And thank you! I'm three months in and I just can't wait for Christmas!
Thank you for teaching me a lot of new things! I really appreciate it. I hope you enjoy the holidays too!",11:38AM December 3
Mentor commented at,"10:51AM December 2 
Hi! 
Don't worry about it at all! I'm sure you're really busy :)
Awe that sounds really cute! What is it called??
And okay! that's great! I think we can stop whenever if theres nothing else you would like to do. 
It was lovely getting to know you! I hope that I was able to help in some way. 
I really appreciate how much thought and effort you put it! You did a really great job.
Good luck with the rest of your school year! Hope you enjoy the holidays :)",10:51AM December 2
Mentee commented at,"5:31PM November 28 
Hello! I'm so sorry about the very late response, I had this in mind and even kept reminding myself to respond but my busy weekend held it off :( I just remembered it right now while doing my Chemistry homework 😢
And yes! I found super cute productivity apps - one of them even had a penguin character whose mood depended on my habits. I find that app very productive for I always feel bad whenever I see the penguin sad and so I do the productive things listed 😂
And I don't think I have any more modules I would like to check out, though if one of them is required to finish the program I'll gladly do it! I find that I don't have any more modules that I would like to learn or study about more.
I hope you have a great week!",5:31PM November 28
Mentor commented at,"1:03PM November 22 
No worries!
and hahah yes apps that look nice are a lot more enticing to use. 
Hope your week is going well!
Let me know if there are any other modules you'd like to check out :)",1:03PM November 22
Mentee commented at,"2:24PM November 20 
Hello! Sorry for the late response.
Yes, it worked really well for me! I actually used the app again during my study sessions this weekend, and I looked for more productivity apps (I found that if I use cute study apps my focus gets better 😂). 
I hope you have a great week too!",2:24PM November 20
Mentor commented at,"10:30AM November 8 
Hi! 
 
So sorry for the late response! 
and I definitely feel guilty about it as well, so I try to avoid it as best as possible.
and yeah, pomodoro is definitely worth trying in my opinion! I don't use it every time I study,  but when I do I definitely find that it helps.
yes! Let's do the extension activity :)",10:30AM November 8
Mentee commented at,"7:13PM November 3 
Hello! Thanks for the insights, I appreciate them!
That's how I treat my deadlines as well! I'm not too fond of when I'm unable to meet the deadlines because I feel reallyyyy guilty :/ And I've heard of the Pomodoro timer! I haven't tried it yet but would like to do so! I would like to try the extension activity about this technique with my upcoming project/s if that's alright!
I hope you have a great week!",7:13PM November 3
Mentor commented at,"10:40AM November 1 
That's great to hear that you have already implemented some of the study strategies! Especially as it's sounds they have become second nature to you.
I also struggle with switching tasks - I feel very driven by completion, and switching delays that I think haha. I honestly have struggled a lot with study skills, and especially with prioritizing tasks.
I definitely don't have any ""tried & true"" techniques for studying that always work for me. I have ADHD so I definitely struggle with planning (and execution) lol. I do study a lot more in Uni compared to secondary school though. 
 
From what I remember of high school, I didn't really study very much. But it's much easier to fall behind in university, and you also have more responsibility over your education. No one is putting pressure on you to go to class, or to study/do homework - so you really have to motivate yourself. 
 
I find my actual studying is a little all over the map, but I always treat deadlines as concrete. I don't let myself hand in anything late, and I don't let myself fall behind (this is more just a mindset to help myself - I don't judge other's for falling behind). I'm really trying to get better at the studying aspect of things though. I've recently been using a Pomodoro timer, which really helps on the days that I'm not very motivated. I usually do 25 minutes on, then a 5 mintute break. I also find that if I can make anything into a challenge or a game, it can be very motivating!
Hope your weeks is off to a good start :)
Mentor",10:40AM November 1
Mentee commented at,"8:42PM October 27 
Hello! I just finished watching the video about the six useful study skills. I actually have tried out most of these skills, specifically the study strategies of spreading study sessions throughout a week, coming up with concrete examples instead of abstract ones, and writing down what I recall from my study session. These strategies did help me a lot, especially with tests involving a lot of memorization, so then they just kind of merged with my learning style. Now, I tend to do them oftentimes.
A strategy that I may find difficult to do though is switching between multiple topics. I find myself very focused on one topic at a time, and sometimes I spend hours studying that particular topic (which is not very helpful for then I get lesser time to study the others). But I'll try out that strategy though, I might just find it as helpful as the others.
Furthermore, do you have your own strategic study skills that you have developed? Post-secondary classes are very much different from high school classes, and the tests probably are too, so do you have any study strategies that changed as you transitioned from high school to college?
I hope you have a great week! :D",8:42PM October 27
Mentor commented at,"3:38PM October 25 
Sounds great! :)",3:38PM October 25
Mentee commented at,"3:23PM October 25 
Okay, thanks! I'll start on it as soon as I can.
I hope you have a great week!",3:23PM October 25
Mentor commented at,"3:35PM October 23 
No worries! Haha
and great! I'll open it up now!

Hope you are having a nice weekend! :)",3:35PM October 23
Mentee commented at,"4:18PM October 19 
Ohhh, I was just making sure because I'm taking way too long responding haha 😂 Anyways, thanks!
Moreover, if it's alright, I would like to do the ""Strategic Studying"" conversation! I know some strategic studying methods, but would like to have a variety of them!
I hope you have a great week!",4:18PM October 19
Mentor commented at,"7:44PM October 18 
That sounds fun! Hope you did t lose your voice haha.
And yeah it was rough - I'm definitely relieved that it's over now!
From what I recall (when we were matched) was that you were just doing the ones you were interested in. I could be mistaken though, I can take a look back my emails and get back to you!
hope your week is going well :) 
Mentor",7:44PM October 18
Mentee commented at,"12:51PM October 16 
Hello! Thank you, I spent my long weekend screaming during a basketball match haha. And that's okay, I don't mind! But a semester-worth of information? That sounds reallyyy stressful (and brain-frying haha)!
And I don't think I have any more questions about the conversation. You've already helped me learn tips I could use in the future! But I was wondering if this program requires all the conversations finished?
Thank you and have a great week!",12:51PM October 16
Mentor commented at,"6:53PM October 13 
Hi! Sorry for a bit of a late response. I had my first end-of-block exam and I am exhausted to say the least haha. The structure of Pharmacy school is a lot different than I'm used to. We did a whole semester-long course worth of material in 4 weeks and my brain is fried I think 😂.
And yeah it was definitely a stressful experience, but funny to look back on now.
Do you have any other questions for me? Would you like to try another topic? :)
Hope you had a relaxing long weekend! 
Mentor",6:53PM October 13
Mentee commented at,"4:37PM October 9 
Yes, that's very true! I used to stumble a lot with my words when defending my thesis, but as I had more and more experiences with it, I actually improved. Thanks for the insights, I'll remember them for the near future!
Haha, that sure is one memorable experience! I would be very nervous too if I had heard that before the actual interview.
I hope you have a great thanksgiving weekend too!",4:37PM October 9
Mentor commented at,"10:26PM September 28 
Hi!
I think you resume looks good! I know it's tough to write them when you don't have a lot of work experience. I think it's important to really highlight your skills to make up for not having previous jobs - and I definitely think you did that. 
 
My suggestion would just be to try to make it stand out. Like if you have any unique experience that would make you a good candidate for a job. When places are hiring people, they're often looking through a stack of resumes, so it's really important to get them to notice yours!
Do you have any questions about them? Or anything else? :)
Hope you're week is going well!
Mentor",10:26PM September 28
Mentee commented at,2:36PM September 25,2:36PM September 25
Mentor commented at,"6:15PM September 24 
Yeah the adjustment period can be hard. I am in that too with Pharmacy school. Don't be too hard on yourself!
The improv show was a lot of fun - super funny!! And really impressive honestly. To be able to come up with stuff so quickly is definitely a skill!
hope you're having a nice weekend! Looking forward to hearing from you :)",6:15PM September 24
Mentee commented at,"9:56PM September 21 
Hello!
Oooo, that's a very helpful way of thinking! I think I'm in the process of adjusting, but I want to start thinking like that. And thank you! I'll start reading the Conversation as soon as I can.
An improv show sure sounds like fun! I would like to watch one someday! I hope you have a good week!",9:56PM September 21
Mentor commented at,"8:05AM September 21 
Yes, we got Monday off too! Because it's a professional program and all the material is required we still have to do it on our own throughout the week though (so not really a day off).
I'm not sure if you feel the same way, but I often find the first few weeks are really hard, and then you adjust and it doesn't seem so hard anymore. Looking back, grade 3 would be really easy for me now, but at the time it was definitely hard! I find this persepective helpful to realize that how difficult something is is completely relative and someday I'll look back and think ""it wasn't that hard.""
Hahah that is very classic of parents to say that. I am the youngest of my siblings so I got that allllllll the time hahah. 
 
Sounds great! I'll open up that conversation! Looking forward to hearing from you :)
and thanks! I had a nice weekend! Went to an improv show with my sister and it was really fun!",8:05AM September 21
Mentee commented at,"7:15PM September 18 
Hello! Yes, my school got Monday off! How about you? :)
The new school year is alright, but now I'm learning that the 11th grade really is much more difficult than the 10th grade. My teachers love cramming everything into the last minute of our classes and giving us homework every single day. But I really like it for I like doing homework!
And yes! I read about resources in universities and I think they're a very tremendous help. And thank you! One thing I like when asking my parents about ""adult"" stuff is when they keep telling me how quickly I'm growing up 😆
And if you don't mind, I would really want to talk about the ""Getting Hired"" conversation. I'm planning to get a job next year, and I have 0 experience in that matter.
I hope you're enjoying your weekend too!",7:15PM September 18
