Mentor ID,Mentee ID,Relation Created at,Response Datetime,Response,Mentor,Category
1047546975,1047541030,2021-10-01 18:52:00,2021-10-01 18:52:00,"Why hello there! To be perfectly frank, I'm here because it's a school
project, but don't let that deter you. Hopefully this turns into something cool, and if not, then
its still counted as school work (awesome). Oop my name is Evan by the way, probably should have
lead with that, but you probably know that anyways what with the email system. Anywho, I suppose we
have to do some convo starters. It's saying that I get to choose, so here we go. Food for thought
sounds good. I'm actually just about to start making some kickass brownies right now, but I figured
homework would probably be the best way to start things out. I'm not actually a fan of chocolate,
but I figured I'd give the brownies a go. Fingers crossed. For my favorite song/artist I would have
to go with vivaldi's ""les quatres saisons: L'hiver."" Vivaldi is an amazing composer. Well that was a
super basic convo starter, but it'll do. Hope you enjoy brownies, cause I'll probably end up sending
you some pics. Have a good weekend, and bye. I really hope this isn't going to be marked. ... Bye
for real.",Mentee,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-01 19:37:00,"Hii Evan! It's really nice to meet you! My name is Anastasia, but
you can call me Stasia if you'd like. It's all good that you're mostly just doing this because it
counts as school - I'd honestly do the same thing lol! This is my first time being an Ementor so I'm
a little nervous but also excited, I'll try to do the best I can. :) That's cool you're making
brownies! Do you often like to bake? It's funny, I'm sort of the opposite of you, I love chocolate
but brownies are my least favourite among the chocolate family. But I'd love to see a pic of your
finished brownies! I haven't heard of Vivaldi before but I'll definitely give them a listen. :) I
currently am eating some instant ramen, because uni life. But I'm going to try to actually cook
something for dinner tonight, probably jambalaya - I make it with lentils, tomatoes, and rice.
Sounds kinda boring but I promise it tastes good. Especially with a lot of spice added. As for a
song I really enjoy, lately I've had ""Cradles"" by Sub Urban on repeat. I saw in your bio that you
love writing too! What kind of stuff do you like to write? (If you feel like sharing). You probably
already looked at my bio too, but I'm also a writer - I really like writing poetry but I'm also
working on a novel in the modern fantasy genre. In my handy dandy little Ementor guide, it told me
know I should let you know when I can respond to messages. I check my email pretty regularly so I
should be able to respond within a few hours most of the time; but I do generally work friday,
saturday, and sunday so on those days I might take a little longer to respond if you happen to
message me. Okay, that's probably enough for now lol. I hope you enjoy your brownies &amp; have a
good rest of your day!",Mentor,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-01 21:49:00,"Stasia it is. Always thought it was a cool name from
books, but I've never met anyone IRL who has it. Although I suppose I still haven't met anyone IRL
that has it. Hmm. I could count you as half an IRL Anastasia how about that. Are you doing this for
school as well, or just free time? If it's just in your free time then thats pretty awesome of you.
I don't think I would volenteer my time to an indolent rapscallion such as myself in your shoes.
Alright I got to tell you, I've never had brownies before. But (yes there is a but) I plan to fix
that. Most people get mad at me when I say that, so it's a relief to hear you don't like them haha.
I don't bake much at all, so it could get messy. Hope it's not too bad, although nobody is home rn
so there will be no witnesses. ... Except my dog. Anyways, cradle is a pretty great song. I listen
to it too:) My tastes are pretty eclectic, so I have everything from pop to jazz to rock to
classical. Everything except counrty tbh. *Shivers in disgust* Vivaldi was a pretty popular
classical composer way back in the day, so I'm not surprised you don't know him. Not too many people
do. Nice on the writing! I don't do poetry too much unless its a assignment, in which case I pull
out liberal amounts of BS from my back pocket. That, along with a splash of cool vocabulary tends to
get the job done. I finished editing my book a month or so ago, and am awaiting my faithful servants
(parents, teachers, and friends) to finish proof reading it. They aren't very fast I gotta say. They
finish it and then remember they have to edit. Pretty frusterating, cause I was hoping to send it in
a while ago. But you know, its just time to relax I suppose. I don't do much creative writing to be
honest. I just kind of jumped straight into a book from nothing, which was a very very very steep
learning curve. Re-reading the first few chapters after I finished was agony. This has gotten a bit
long, so I'll end it here. Two quick questions before I leave though, I read she/her on you profile
but just figured I'd confirm it before messing it up. After reading that sentance I realise that
wasn't worded as a question, but I don't want to delete my beautiful creation, so I'm just putting a
question mark here and calling the last sentance a question? Next up is are you alright with
profanity? You're like 24 so I hope so, but it never hurts to confirm. Your ever faithful web
correspondence Evan",Mentee,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-01 23:35:00,"Awe, thanks! I haven't met anyone else named Anastasia
either, we seem to be a rare species. And I'm just doing this as a volunteer, but it seemed like a
fun opportunity. ""Indolent rapscallion"" I quite like that haha. I definitely see why you're also a
writer! Aweee you have a doggo!! Name?? I have two cats, their names are Misha and Sochi. Misha is a
diabetic princess while Sochi is a cuddly goofball. I don't think brownies can be too messed up -
worst comes to worse, you have some mushy warm chocolate. Okay that actually sounds kinda weird, so
nevermind. Eyyy it's cool that you know cradles too!! I feel the exact same about music; I just
don't understand how people like country music lmao. Lately I've been listening to more alt rock
music, but I really enjoy a wide variety as well. It's insanely cool that you've finished a novel
already!! That takes sooo much work. Mine is... a mess. I have everything planned out for it, but
it's hard for me to find time for the actual writing. I hope your fam and friends will get their
edits done soon and you can start sending it in!! That's so exciting. And I know exactly what you
mean about rereading old stuff. It's like, oof, I really did that?? Haha, it's all apart of the
process though. Thank you for checking! I go by both she/her and they/them. Either is fine with me.
Just to check, yours are he/him? :) And yes! Profanity is okay with me - Admittedly, I curse far too
much in my daily life. I spent longer than I care to admit trying to think of a cool sign off but
alas my only braincell seems to have fallen asleep so Imma just say bye for now lol Stasia",Mentor,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-02 00:10:00,"A rare species indeed, of the volenteer genus as well. I may never meet another
in my lifetime. Diabetic princess pfft. My dog's called strider, so named after the king of middle
earth. (It was my brothers idea, not that I'm dissing it. King of middle earth is a fucking amazing
title for a dog.) I have to agree with you on the warm mushy chocolate bit. It doesn't sound like my
best lifestyle. What exactly my best lifestyle is I have yet to find out, but that particular image
is not going to be in it. Yes! You get it! Every genre has it's value, except for country. Blegh.
Twangy twangy please kill my ears already. I have a bunch of friends who are in the exact same boat
as you are: all the planning done without the bulk of the manual labour. I completely bypassed that
section and just torched my sleep schedule making it up one paragraph at a time. Gave me nightmares
to edit, but I didn't get stuck in that quasi state. Win some lose some. Excellent on the swearing
bit. Cursing creatively is one of the few pleasure of my day, one that I take pride in. He him works
great. I think we've been through the tried and tested convo starters, so tell me a bit about
yourself! Hows the college life? (You're a party animal I bet &gt;:D ) On the cool sign offs thing,
I'm not entirely sure either. We can't exactly make a secret handshake up. Bah. You're the mentor,
you figure it out. Best of luck",Mentee,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-02 20:01:00,"I love that your dog's name is Strider!!
What a dope character to be named after. I hope he appreciates it. Damn, I really admire your drive
when it comes to writing! Back when I was still a teenager I could run off 3 hours of sleep and be
fine but now if I do that I become a literal walking zombie who can't function at all, so I usually
try to get as much sleep as possible lol. I actually just made the recent decison to quit my job
though so I have more time to focus on writing - and school too of course. Lmao I'm really not the
party type - I've always been more of an introvert and into the staying home and spending time with
my cats kind of life. Buuuut I do have some friends from work and we'll all go out for dinner or a
movie night together when we can find time! I gotta go out at least some times and remind myself
there's a whole world out there. I'm one of those weirdos who actually likes school, so I'm really
enjoying university! Plus it helps to be in a program that I love. It's soooooo nice to be on campus
again too - last year was pretty tough with it all being online. Being in English classes, though,
is a shit ton of reading and writing. Luckily there hasn't been anything major due yet though, so
I'm staying pretty on top of things. For now. Ask me in a few weeks and I might be drowning. I have
4 classes right now; two of them I really enjoy because the professors are really into hearing what
us students think about the texts, like what stood out to us or seems important, because I like
being able to share what I connected to in the text. In one of my other classes though, the prof
just lectures and asks very direct questions - more of like yes/no answers - and it's just kinda
annoying because I want to share my own opinion, not just listen to hers. How's school going for
you? Are you in your last year? :) Also - if you want to, we can hit the ""Working through this
program"" to start getting into some other stuff! I feel like I've gotten to know you now, so I'm
ready if you're ready :) Okay, I think I got a cool sign off figured out: Ba la la la ~ ~ *
Stasia",Mentor,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-02 22:35:00,"I feel like he doesn't appreciate it nearly enough, but he's a good
boy so it doesn't bother me. Quitting your job sounds like quite the investement into writing, hope
it works out! And honestly for me it was more about perseverance than anything skill related, so
more time should hopefully help. What do I know though, college sounds busy. You totally radiate
party vibes, you can't hide the truth from me. Jk, being an introvert is pretty nice. I count myself
among their number. You don't have to to much, and it just makes life easier haha. Since I want to
keep talking to you, I'm going to ignore what you just said about enjoying school. Otherwise I would
be duty bound to exit this website, stop talking to you, and probably fail this assignment. School
is super chill for me right now, last year alright. Classes are easy, people don't bug me, and now
if anyone gets in my way in the hallways they move around me instead of the other way around. Small
miracles I guess. I am unsure what we actually have to do for the working through the program stuff.
Is it given to us by the mentorcity platform, or do we have to find images and whatnot by ourselves.
Again, you are the mentor, so I leave it in your capable hands. ;) Ba la la indeed Stasia Evan",Mentee,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-03 12:15:00,"Tell Strider he's a good boi for me!! I'm really excited to have more time off -
in the summer I actually wrote quite a bit for my book when I had days off, so I'm just imagining
the power I'll have with more free time - or will I procrastinate more? I guess we shall see.
Ahahahaha okay, please ignore what I said. School sucks!! Lol. I'm glad your last year is going
chill so far!! It is nice to finally be among the older students and enjoy the perks that come with
it. :) Lmao this is my first time doing this too, but I'm gonna press the button and we'll see what
happens. See you on the other side!! Stasia",Mentor,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-03 12:30:00,"Ahh okay I've been to the other
side, and you should be able to click the ""Working Through This Program"" button yourself and once
you've watched the little video and stuff, just let me know what conversation you want to do first
and we can start on that. :) I'm working today but I should be able to reply to any messages at 8 pm
tonight. But also, since it's sunday, if you just wanna chill we can start this tomorrow instead!
Totally up to you :)",Mentor,"Posts in {""en""=>""Program
Instructions""}"
1047546975,1047541030,2021-10-01 18:52:00,2021-10-05 19:25:00,"This seems like a pretty strange way to do things, there isn't a very
centralized communication system is there. I guess We talk about this subject here and others in
other places. Fragmented, but who cares. Anyways. Hello! Been a while. Not really, but a while. Yup.
Anywho, we get to discuss the topic with the prompts provided I suppose. I really wasn't expecting
agency in the world to be turned into a feel-good lesson about how being an outcast is okay. That
threw me off a bit, but otherwise I thought it was a good ted talk. I personally don't struggle with
looking at myself as an outcast, one of the many many priviledges and responsabilities of a
proffesional introvert. Sometimes at lunch I used to sneak into the library and write away, which
help the overarching goal of that time to finish the book. I handle the ""outcast feelings"" as they
were by not thinking about, or having them. It's a simple solution, yet quite effective. The
relationship between grit and agency is quite important imo. How can you accomplish things or have
liberty to do what you want without having the determination and results to back it up? Although,
grit really does apply to pretty much everything if you want to do it well. It does, however, apply
quite nicely to agency in that regard. Hope thats enough for now, see you when I see you Ba la la
Evan",Mentee,"Posts in {""en""=>""Agency in the
world""}"
